request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 on 2025-08-03. This keeps at least IDR 24768300 available.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 on 2026-07-05. This keeps at least ZAR 20500 available.
request_28,689.4,not_affordable,not_recommended,none,,none,Paying EUR 1302.40 is not safe on 2024-06-07. At most EUR 689.40 can be paid while keeping EUR 1100 available.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 on 2025-11-04. This keeps at least ZAR 28300 available.
request_30,775.2,not_affordable,not_recommended,none,,none,Paying USD 775.20 is not safe on 2026-04-06. At most USD 775.20 can be paid while keeping USD 900 available.
request_31,13840360,not_affordable,not_recommended,none,,none,Paying IDR 18164000 is not safe on 2024-09-03. At most IDR 13840360 can be paid while keeping IDR 16588900 available.
request_32,33305.8,not_affordable,not_recommended,none,,none,Paying ZAR 40018 is not safe on 2025-02-05. At most ZAR 33305.80 can be paid while keeping ZAR 35700 available.
request_33,65180,not_affordable,not_recommended,none,,none,Paying INR 118000 is not safe on 2026-01-07. At most INR 65180 can be paid while keeping INR 102100 available.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 on 2024-12-04. This keeps at least INR 138500 available.
request_35,125130,not_affordable,not_recommended,none,,none,Paying INR 212000 is not safe on 2025-10-30. At most INR 125130 can be paid while keeping INR 106400 available.
request_36,1446.6,not_affordable,not_recommended,none,,none,Paying USD 3954 is not safe on 2026-07-03. At most USD 1446.60 can be paid while keeping USD 2400 available.
request_37,12068800,not_affordable,not_recommended,none,,none,Paying IDR 14649000 is not safe on 2024-03-05. At most IDR 12068800 can be paid while keeping IDR 17056200 available.
request_38,379.4,not_affordable,not_recommended,none,,none,Paying EUR 971.30 is not safe on 2025-08-07. At most EUR 379.40 can be paid while keeping EUR 400 available.
request_39,203105,not_affordable,not_recommended,none,,none,Paying INR 208600 is not safe on 2026-04-04. At most INR 203105 can be paid while keeping INR 213400 available.
request_40,894,not_affordable,not_recommended,none,,none,Paying EUR 1290.30 is not safe on 2024-06-06. At most EUR 894 can be paid while keeping EUR 1500 available.
