request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 on 2025-08-03. This keeps at least IDR 24,768,300 available."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 on 2026-07-05. This keeps at least ZAR 20,500 available."
request_28,337.18,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Wait until 2024-08-15 before paying EUR 1,302.40. That is the earliest date the full payment keeps at least EUR 1,100 available."
request_29,7368.25,not_affordable,not_recommended,none,,none,"Paying ZAR 51,524 is not safe on 2025-11-04. At most ZAR 7,368.25 can be paid while keeping ZAR 28,300 available."
request_30,155.24,not_affordable,not_recommended,none,,none,Paying USD 775.20 is not safe on 2026-04-06. At most USD 155.24 can be paid while keeping USD 900 available.
request_31,3594904.34,affordable_later,wait,2024-09-13:18164000,2024-09-13,none,"Wait until 2024-09-13 before paying IDR 18,164,000. That is the earliest date the full payment keeps at least IDR 16,588,900 available."
request_32,18358.74,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Wait until 2025-04-15 before paying ZAR 40,018. That is the earliest date the full payment keeps at least ZAR 35,700 available."
request_33,36211.83,affordable_later,wait,2026-03-13:118000,2026-03-13,none,"Wait until 2026-03-13 before paying INR 118,000. That is the earliest date the full payment keeps at least INR 102,100 available."
request_34,85521.57,not_affordable,not_recommended,none,,none,"Paying INR 129,400 is not safe on 2024-12-04. At most INR 85,521.57 can be paid while keeping INR 138,500 available."
request_35,32320,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15 before paying INR 212,000. That is the earliest date the full payment keeps at least INR 106,400 available."
request_36,717.1,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait until 2026-09-15 before paying USD 3,954. That is the earliest date the full payment keeps at least USD 2,400 available."
request_37,4806700.71,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Wait until 2024-05-15 before paying IDR 14,649,000. That is the earliest date the full payment keeps at least IDR 17,056,200 available."
request_38,214.13,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Wait until 2025-09-15 before paying EUR 971.30. That is the earliest date the full payment keeps at least EUR 400 available.
